,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemperature,WindSpeed
0,busselton,90.0,AU,2019-06-30 22:37:05,75.0,-33.64,115.35,11.67,6.61
1,goderich,0.0,CA,2019-06-30 22:45:34,83.0,43.74,-81.71,20.0,2.68
2,bluff,0.0,AU,2019-06-30 22:41:48,49.0,-23.58,149.07,20.36,4.47
3,rikitea,21.0,PF,2019-06-30 22:43:02,58.0,-23.12,-134.97,20.86,4.71
4,lebu,75.0,ET,2019-06-30 22:45:34,93.0,8.96,38.73,14.0,4.6
5,bambanglipuro,73.0,ID,2019-06-30 22:45:35,81.0,-7.95,110.28,23.36,4.56
6,talnakh,0.0,RU,2019-06-30 22:45:35,76.0,69.49,88.39,10.0,6.0
7,popondetta,97.0,PG,2019-06-30 22:45:35,92.0,-8.77,148.24,21.06,1.45
8,bambous virieux,75.0,MU,2019-06-30 22:42:24,68.0,-20.34,57.76,21.0,5.1
9,port elizabeth,20.0,US,2019-06-30 22:45:35,37.0,39.31,-74.98,31.0,6.2
10,hilo,90.0,US,2019-06-30 22:41:58,65.0,19.71,-155.08,28.0,6.7
11,hasaki,75.0,JP,2019-06-30 22:45:36,100.0,35.73,140.83,22.22,1.0
12,albany,40.0,US,2019-06-30 22:45:36,60.0,42.65,-73.75,24.0,5.7
13,puerto ayora,20.0,EC,2019-06-30 22:45:36,69.0,-0.74,-90.35,25.0,10.8
14,paamiut,0.0,GL,2019-06-30 22:45:36,86.0,61.99,-49.67,2.96,5.95
15,cape town,75.0,ZA,2019-06-30 22:42:14,93.0,-33.93,18.42,12.78,6.7
16,new norfolk,20.0,AU,2019-06-30 22:42:03,50.0,-42.78,147.06,15.56,7.2
17,lambarene,20.0,GA,2019-06-30 22:45:37,86.0,-0.7,10.22,22.16,2.13
18,naron,90.0,ES,2019-06-30 22:45:37,100.0,43.52,-8.15,18.33,2.1
19,siyabuswa,0.0,ZA,2019-06-30 22:45:37,54.0,-25.11,29.06,11.16,2.33
20,sedan,56.0,FR,2019-06-30 22:45:37,67.0,49.7,4.94,20.56,3.6
21,santa maria,20.0,BR,2019-06-30 22:45:38,53.0,-16.02,-48.01,23.0,3.1
22,port alfred,14.0,ZA,2019-06-30 22:45:38,84.0,-33.59,26.89,16.67,3.58
23,hermanus,95.0,ZA,2019-06-30 22:34:56,78.0,-34.42,19.24,13.89,2.24
24,upernavik,1.0,GL,2019-06-30 22:42:01,83.0,72.79,-56.15,4.66,2.94
25,kenai,1.0,US,2019-06-30 22:45:38,63.0,60.55,-151.26,23.89,9.3
26,sarangani,65.0,PH,2019-06-30 22:45:38,78.0,5.4,125.46,27.76,1.68
28,punta arenas,90.0,CL,2019-06-30 22:41:43,69.0,-53.16,-70.91,1.0,7.2
29,ushuaia,75.0,AR,2019-06-30 22:40:57,64.0,-54.81,-68.31,3.0,10.3
30,kaitangata,100.0,NZ,2019-06-30 22:42:53,62.0,-46.28,169.85,9.44,2.68
31,kodiak,1.0,US,2019-06-30 22:45:39,52.0,39.95,-94.76,33.89,5.7
33,itoman,75.0,JP,2019-06-30 22:45:39,89.0,26.12,127.67,29.0,7.7
35,cherskiy,100.0,RU,2019-06-30 22:45:40,91.0,68.75,161.3,3.86,2.66
36,ponta do sol,6.0,BR,2019-06-30 22:42:35,70.0,-20.63,-46.0,16.66,2.09
37,bredasdorp,70.0,ZA,2019-06-30 22:41:24,93.0,-34.53,20.04,13.89,1.5
38,torbay,90.0,CA,2019-06-30 22:42:26,93.0,47.66,-52.73,13.89,2.1
39,nantucket,90.0,US,2019-06-30 22:42:29,93.0,41.28,-70.1,21.0,4.1
40,sarh,20.0,TD,2019-06-30 22:45:40,88.0,9.14,18.39,24.0,2.1
41,kapaa,40.0,US,2019-06-30 22:42:02,70.0,22.08,-159.32,29.0,5.1
43,silver city,1.0,US,2019-06-30 22:45:41,11.0,32.77,-108.28,35.0,2.1
44,thiadiaye,20.0,SN,2019-06-30 22:45:41,88.0,14.42,-16.71,25.0,4.1
45,labuhan,85.0,ID,2019-06-30 22:43:41,78.0,-2.54,115.51,24.36,0.32
46,itapetininga,0.0,BR,2019-06-30 22:45:41,86.0,-23.59,-48.05,17.76,1.94
47,blagoyevo,85.0,RU,2019-06-30 22:45:42,98.0,63.37,47.92,6.76,1.89
48,cabo san lucas,5.0,MX,2019-06-30 22:43:14,54.0,22.89,-109.91,34.44,2.6
49,qaanaaq,2.0,GL,2019-06-30 22:45:42,48.0,77.48,-69.36,10.66,0.82
50,inhuma,44.0,BR,2019-06-30 22:45:42,65.0,-6.67,-41.71,24.06,2.34
51,tuktoyaktuk,75.0,CA,2019-06-30 22:41:57,70.0,69.44,-133.03,7.0,4.1
52,kemi,0.0,FI,2019-06-30 22:45:42,70.0,65.74,24.56,9.0,3.1
53,iracoubo,100.0,GF,2019-06-30 22:45:43,95.0,5.48,-53.21,23.56,1.93
54,karaton,20.0,ID,2019-06-30 22:45:43,73.0,-6.34,106.1,25.0,2.1
55,cururupu,24.0,BR,2019-06-30 22:42:51,90.0,-1.82,-44.87,22.76,1.17
56,camacha,20.0,PT,2019-06-30 22:45:43,72.0,33.08,-16.33,21.0,4.1
57,pevek,100.0,RU,2019-06-30 22:37:07,97.0,69.7,170.27,0.06,5.08
58,adrar,0.0,DZ,2019-06-30 22:45:44,14.0,27.87,-0.29,36.0,3.1
59,nikolskoye,0.0,RU,2019-06-30 22:45:44,76.0,59.7,30.79,15.0,2.0
61,norman wells,75.0,CA,2019-06-30 22:42:43,44.0,65.28,-126.83,15.0,8.2
62,fairbanks,75.0,US,2019-06-30 22:45:44,54.0,64.84,-147.72,27.78,5.1
63,provideniya,90.0,RU,2019-06-30 22:37:06,81.0,64.42,-173.23,9.0,7.0
64,geraldton,40.0,CA,2019-06-30 22:45:45,47.0,49.72,-86.95,25.0,5.7
66,mataura,90.0,NZ,2019-06-30 22:43:03,77.0,-46.19,168.86,10.56,0.89
68,avarua,83.0,CK,2019-06-30 22:41:31,60.0,-21.21,-159.78,23.0,6.2
69,hobart,20.0,AU,2019-06-30 22:35:55,50.0,-42.88,147.33,15.0,7.2
70,ciudad bolivar,99.0,VE,2019-06-30 22:45:45,75.0,8.12,-63.55,27.06,5.24
71,touros,75.0,BR,2019-06-30 22:43:18,94.0,-5.2,-35.46,24.0,2.1
72,jamestown,100.0,AU,2019-06-30 22:42:43,60.0,-33.21,138.6,9.36,6.06
73,nadym,92.0,RU,2019-06-30 22:45:46,69.0,65.53,72.51,18.06,7.35
74,san patricio,100.0,PY,2019-06-30 22:43:46,96.0,-26.98,-56.83,14.66,4.98
75,iqaluit,20.0,CA,2019-06-30 22:45:46,75.0,63.75,-68.52,7.0,8.2
77,codrington,90.0,AU,2019-06-30 22:45:46,93.0,-28.95,153.24,16.0,2.39
79,rovaniemi,0.0,FI,2019-06-30 22:45:47,70.0,66.5,25.72,9.0,2.1
80,codigoro,0.0,IT,2019-06-30 22:45:47,88.0,44.83,12.11,23.89,2.1
81,lompoc,20.0,US,2019-06-30 22:45:47,68.0,34.64,-120.46,27.0,7.7
82,vaini,99.0,IN,2019-06-30 22:41:59,89.0,15.34,74.49,24.66,1.44
83,nelson bay,0.0,AU,2019-06-30 22:45:47,87.0,-32.72,152.14,9.44,3.1
84,hovd,75.0,NO,2019-06-30 22:43:18,87.0,63.83,10.7,13.33,6.2
85,carnarvon,100.0,ZA,2019-06-30 22:45:48,73.0,-30.97,22.13,6.96,7.78
87,nago,0.0,IT,2019-06-30 22:45:48,61.0,45.88,10.89,27.0,2.1
88,tomatlan,1.0,MX,2019-06-30 22:45:48,65.0,19.93,-105.25,29.16,3.49
89,hofn,61.0,IS,2019-06-30 22:45:49,85.0,64.25,-15.21,-0.94,4.04
90,nha trang,75.0,VN,2019-06-30 22:45:49,70.0,12.24,109.19,29.0,1.5
91,saskylakh,95.0,RU,2019-06-30 22:45:49,78.0,71.97,114.09,5.96,7.12
92,cockburn town,0.0,TC,2019-06-30 22:44:56,81.0,21.46,-71.14,27.66,8.69
93,mahebourg,75.0,MU,2019-06-30 22:45:49,68.0,-20.41,57.7,21.0,5.1
94,saint-philippe,40.0,CA,2019-06-30 22:45:49,60.0,45.36,-73.48,24.0,3.1
95,gondanglegi,45.0,ID,2019-06-30 22:45:50,86.0,-7.75,112.01,20.66,1.87
96,khatanga,31.0,RU,2019-06-30 22:33:43,60.0,71.98,102.47,11.16,4.37
97,thompson,75.0,CA,2019-06-30 22:43:59,56.0,55.74,-97.86,20.0,10.3
98,port blair,100.0,IN,2019-06-30 22:41:17,80.0,11.67,92.75,28.76,10.74
99,itarema,0.0,BR,2019-06-30 22:45:50,81.0,-2.92,-39.92,24.06,3.15
100,mambajao,97.0,PH,2019-06-30 22:45:50,78.0,9.25,124.72,28.26,5.53
101,victoria,75.0,BN,2019-06-30 22:45:51,94.0,5.28,115.24,26.0,4.72
102,hithadhoo,80.0,MV,2019-06-30 22:45:51,69.0,-0.6,73.08,28.86,2.99
103,kruisfontein,54.0,ZA,2019-06-30 22:42:11,83.0,-34.0,24.73,11.46,3.05
104,synya,100.0,RU,2019-06-30 22:45:51,73.0,65.37,58.04,14.76,2.69
105,danane,56.0,CI,2019-06-30 22:45:51,99.0,7.26,-8.15,20.66,1.37
106,san buenaventura,40.0,MX,2019-06-30 22:45:52,26.0,27.06,-101.55,30.86,4.61
107,mokhsogollokh,0.0,RU,2019-06-30 22:44:19,42.0,61.4,128.95,20.86,3.95
108,alta floresta,2.0,BR,2019-06-30 22:45:52,53.0,-9.87,-56.08,24.36,1.52
109,gazojak,0.0,TM,2019-06-30 22:45:52,15.0,41.19,61.4,28.86,2.88
110,ahipara,51.0,NZ,2019-06-30 22:43:03,82.0,-35.17,173.16,15.86,3.79
111,port hedland,64.0,AU,2019-06-30 22:41:13,50.0,-20.31,118.58,13.0,4.1
113,pangnirtung,25.0,CA,2019-06-30 22:45:53,38.0,66.15,-65.72,9.66,2.22
115,langarud,90.0,IR,2019-06-30 22:45:53,94.0,37.2,50.15,23.0,1.0
116,georgetown,20.0,GY,2019-06-30 22:41:19,83.0,6.8,-58.16,28.0,7.2
117,amurzet,100.0,CN,2019-06-30 22:45:53,74.0,47.69,131.09,19.06,1.46
118,homer,1.0,US,2019-06-30 22:45:54,67.0,59.64,-151.54,23.89,7.2
120,kutum,45.0,SD,2019-06-30 22:43:13,42.0,14.2,24.66,27.96,4.6
121,dikson,18.0,RU,2019-06-30 22:45:54,82.0,73.51,80.55,3.86,3.86
122,aklavik,75.0,CA,2019-06-30 22:45:54,27.0,68.22,-135.01,13.0,1.0
123,ilulissat,75.0,GL,2019-06-30 22:45:54,80.0,69.22,-51.1,4.0,1.5
124,tucuman,7.0,PE,2019-06-30 22:45:55,48.0,-17.17,-70.89,14.06,1.87
125,margate,20.0,AU,2019-06-30 22:45:55,50.0,-43.03,147.26,15.56,7.2
126,praia,0.0,BR,2019-06-30 22:43:41,64.0,-20.25,-43.81,21.0,1.5
127,ancud,40.0,CL,2019-06-30 22:45:55,93.0,-41.87,-73.83,4.0,2.58
128,lixourion,0.0,GR,2019-06-30 22:45:55,50.0,38.2,20.43,24.44,0.45
129,inongo,0.0,CD,2019-06-30 22:45:56,65.0,-1.93,18.29,24.76,0.56
130,valdivia,20.0,CL,2019-06-30 22:45:56,93.0,-39.81,-73.25,4.0,1.5
131,dingle,100.0,PH,2019-06-30 22:45:56,91.0,11.0,122.67,24.66,3.38
132,diffa,44.0,NE,2019-06-30 22:45:56,27.0,13.32,12.61,34.96,3.66
133,arraial do cabo,0.0,BR,2019-06-30 22:43:10,74.0,-22.97,-42.02,23.16,4.19
134,guerrero negro,0.0,MX,2019-06-30 22:44:28,65.0,27.97,-114.04,22.06,9.23
135,severo-kurilsk,0.0,RU,2019-06-30 22:43:10,89.0,50.68,156.12,6.66,6.1
137,arandis,0.0,NA,2019-06-30 22:45:57,90.0,-22.42,14.98,12.78,2.12
138,honningsvag,0.0,NO,2019-06-30 22:45:57,75.0,70.98,25.97,6.56,5.4
139,sorong,92.0,ID,2019-06-30 22:45:57,93.0,-0.86,131.25,25.86,1.71
140,nador,0.0,MA,2019-06-30 22:45:58,64.0,35.17,-2.93,24.0,3.6
141,bone,0.0,DE,2019-06-30 22:45:58,57.0,51.97,12.14,27.0,6.7
142,cidreira,100.0,BR,2019-06-30 22:43:47,85.0,-30.17,-50.22,15.26,3.28
143,arlit,0.0,NE,2019-06-30 22:43:43,15.0,18.74,7.39,37.36,4.02
144,jumla,15.0,NP,2019-06-30 22:43:09,90.0,29.28,82.18,10.66,1.46
145,hegra,75.0,NO,2019-06-30 22:45:58,82.0,63.46,11.11,13.0,6.7
146,faanui,93.0,PF,2019-06-30 22:45:59,75.0,-16.48,-151.75,25.16,9.83
147,lavrentiya,85.0,RU,2019-06-30 22:45:59,77.0,65.58,-170.99,8.46,4.99
148,plettenberg bay,86.0,ZA,2019-06-30 22:45:59,71.0,-34.05,23.37,13.06,2.82
149,beyneu,93.0,KZ,2019-06-30 22:45:59,55.0,45.32,55.19,22.26,7.17
150,the pas,75.0,CA,2019-06-30 22:45:59,43.0,53.82,-101.24,23.0,9.3
151,moose factory,1.0,CA,2019-06-30 22:45:25,68.0,51.26,-80.61,19.0,5.7
152,lagunas,37.0,PE,2019-06-30 22:46:00,72.0,-5.23,-75.68,25.76,0.97
153,airai,82.0,TL,2019-06-30 22:46:00,65.0,-8.93,125.41,25.46,1.08
154,hambantota,20.0,LK,2019-06-30 22:44:04,94.0,6.12,81.12,27.0,5.7
155,galesong,20.0,ID,2019-06-30 22:46:00,100.0,-5.32,119.37,23.0,2.1
156,monroe,1.0,US,2019-06-30 22:46:00,65.0,41.91,-83.4,30.0,3.1
157,yellowknife,75.0,CA,2019-06-30 22:42:09,33.0,62.45,-114.38,14.0,7.7
158,gigmoto,100.0,PH,2019-06-30 22:46:01,84.0,13.78,124.39,27.76,9.59
159,mar del plata,48.0,AR,2019-06-30 22:46:01,69.0,-46.43,-67.52,0.46,7.07
160,porto novo,0.0,BR,2019-06-30 22:42:26,60.0,-23.68,-45.44,23.0,1.0
161,castro,40.0,CL,2019-06-30 22:43:08,93.0,-42.48,-73.76,4.0,1.33
162,orgita,0.0,EE,2019-06-30 22:46:01,77.0,58.92,24.45,18.33,2.1
163,kieta,10.0,PG,2019-06-30 22:43:12,72.0,-6.22,155.63,27.76,1.0
164,slave lake,20.0,CA,2019-06-30 22:46:02,68.0,55.28,-114.77,20.0,3.6
165,nabire,100.0,ID,2019-06-30 22:46:02,95.0,-3.36,135.5,22.96,1.35
166,axim,5.0,GH,2019-06-30 22:46:02,90.0,4.87,-2.24,24.66,2.91
167,pandan,100.0,PH,2019-06-30 22:43:57,84.0,11.72,122.09,27.36,9.52
168,harper,1.0,US,2019-06-30 22:46:03,51.0,30.3,-99.24,29.44,2.1
169,ntcheu,0.0,MW,2019-06-30 22:46:03,93.0,-14.82,34.64,12.86,1.65
170,atuona,84.0,PF,2019-06-30 22:46:03,71.0,-9.8,-139.03,26.96,4.49
171,sur,46.0,OM,2019-06-30 22:43:15,44.0,22.57,59.53,32.86,3.78
172,kalmunai,100.0,LK,2019-06-30 22:46:03,69.0,7.42,81.82,23.56,0.53
173,pueblo,1.0,US,2019-06-30 22:43:32,17.0,38.25,-104.61,37.22,4.1
174,vila franca do campo,20.0,PT,2019-06-30 22:43:22,82.0,37.72,-25.43,19.0,1.5
175,antofagasta,75.0,CL,2019-06-30 22:46:04,71.0,-23.65,-70.4,14.0,6.7
176,manuk mangkaw,100.0,PH,2019-06-30 22:46:04,78.0,4.8,119.85,28.56,6.34
178,anadyr,20.0,RU,2019-06-30 22:44:27,72.0,64.73,177.51,16.67,5.0
179,suar,31.0,IN,2019-06-30 22:46:04,43.0,29.03,79.05,33.06,6.25
180,astara,90.0,AZ,2019-06-30 22:46:05,100.0,38.42,48.87,20.0,2.1
181,vestmannaeyjar,100.0,IS,2019-06-30 22:41:57,82.0,63.44,-20.27,10.86,0.93
182,bollnas,16.0,SE,2019-06-30 22:46:05,77.0,61.35,16.39,13.56,4.81
183,orotukan,59.0,RU,2019-06-30 22:46:05,56.0,62.26,151.67,14.16,0.98
184,lukh,0.0,AF,2019-06-30 22:46:05,22.0,36.76,68.87,28.26,3.15
185,coquimbo,0.0,CL,2019-06-30 22:46:06,76.0,-29.95,-71.34,13.0,4.1
186,kondopoga,32.0,RU,2019-06-30 22:46:06,87.0,62.21,34.27,10.0,2.0
187,walvis bay,1.0,NA,2019-06-30 22:46:06,82.0,-22.95,14.51,15.0,0.5
188,vestmanna,100.0,FO,2019-06-30 22:46:06,93.0,62.16,-7.17,8.0,12.9
189,bandarbeyla,22.0,SO,2019-06-30 22:43:37,54.0,9.49,50.81,27.86,10.55
190,penzance,0.0,GB,2019-06-30 22:46:07,93.0,50.12,-5.53,15.0,5.1
191,coihaique,90.0,CL,2019-06-30 22:46:07,55.0,-45.58,-72.07,4.0,3.1
192,kavieng,41.0,PG,2019-06-30 22:37:06,73.0,-2.57,150.8,28.16,2.03
193,esperance,13.0,AU,2019-06-30 22:44:03,100.0,-33.86,121.89,9.0,4.6
194,arkhangelsk,75.0,RU,2019-06-30 22:46:07,87.0,64.54,40.54,10.0,0.82
195,flin flon,75.0,CA,2019-06-30 22:44:36,60.0,54.77,-101.88,20.0,8.7
196,ribeira grande,75.0,PT,2019-06-30 22:46:08,94.0,38.52,-28.7,20.0,4.6
197,tuatapere,71.0,NZ,2019-06-30 22:46:08,77.0,-46.13,167.69,10.56,0.89
198,qinzhou,100.0,CN,2019-06-30 22:46:08,79.0,21.96,108.62,28.46,4.55
199,cherdyn,100.0,RU,2019-06-30 22:46:08,99.0,60.4,56.48,14.36,1.5
200,deputatskiy,79.0,RU,2019-06-30 22:46:09,42.0,69.3,139.9,15.46,1.3
201,havre,1.0,US,2019-06-30 22:46:09,26.0,48.55,-109.68,27.0,2.6
202,nome,1.0,US,2019-06-30 22:46:09,70.0,30.04,-94.42,31.11,1.5
203,hajduhadhaz,0.0,HU,2019-06-30 22:46:09,88.0,47.68,21.67,19.0,2.1
204,kursk,24.0,RU,2019-06-30 22:46:09,92.0,51.74,36.18,12.06,3.36
205,anda,100.0,CN,2019-06-30 22:46:10,71.0,46.41,125.33,19.66,3.85
206,siedlce,0.0,PL,2019-06-30 22:46:10,55.0,52.17,22.28,25.0,4.12
207,miraflores,0.0,PE,2019-06-30 22:46:10,25.0,-16.39,-71.52,17.0,3.1
209,magan,0.0,OM,2019-06-30 22:46:10,56.0,24.42,56.58,34.0,1.65
210,yarada,100.0,IN,2019-06-30 22:44:53,85.0,17.65,83.27,26.46,7.17
211,mount vernon,75.0,US,2019-06-30 22:46:11,35.0,38.73,-77.1,32.0,4.1
212,saint george,20.0,GR,2019-06-30 22:46:11,56.0,39.45,22.34,22.78,0.89
213,ati,0.0,TD,2019-06-30 22:46:11,20.0,13.21,18.34,35.46,3.55
214,talisay,90.0,PH,2019-06-30 22:46:11,88.0,10.25,123.85,27.0,5.45
215,havoysund,0.0,NO,2019-06-30 22:44:48,81.0,71.0,24.66,6.0,7.2
216,chuy,36.0,UY,2019-06-30 22:43:22,82.0,-33.69,-53.46,10.16,5.58
217,seymchan,42.0,RU,2019-06-30 22:46:12,53.0,62.93,152.39,15.16,0.84
218,hatillo,1.0,PR,2019-06-30 22:46:12,74.0,18.49,-66.83,30.56,9.3
219,yazd,0.0,IR,2019-06-30 22:46:12,11.0,31.89,54.36,35.0,4.1
220,east london,56.0,ZA,2019-06-30 22:43:04,18.0,-33.02,27.91,22.26,6.74
221,dangara,43.0,IN,2019-06-30 22:46:13,26.0,29.68,75.89,34.56,1.91
222,lagoa,0.0,PT,2019-06-30 22:46:13,56.0,37.14,-8.45,23.0,6.2
223,gambela,85.0,ET,2019-06-30 22:46:13,83.0,8.25,34.59,19.76,1.69
224,lorengau,12.0,PG,2019-06-30 22:41:51,80.0,-2.02,147.27,27.36,0.94
226,tecoanapa,75.0,MX,2019-06-30 22:46:14,66.0,16.99,-99.26,31.0,5.1
227,pacific grove,1.0,US,2019-06-30 22:43:54,47.0,36.62,-121.92,30.0,9.8
228,tiksi,100.0,RU,2019-06-30 22:42:14,79.0,71.64,128.87,5.26,4.68
229,coahuayana,4.0,MX,2019-06-30 22:46:14,63.0,18.62,-100.35,29.26,0.48
230,barrow,5.0,AR,2019-06-30 22:46:14,77.0,-38.31,-60.23,4.06,3.92
231,cocobeach,20.0,GA,2019-06-30 22:46:15,78.0,1.01,9.58,26.0,4.1
232,carlisle,74.0,GB,2019-06-30 22:46:15,100.0,54.89,-2.94,14.44,6.7
233,alice springs,27.0,AU,2019-06-30 22:46:15,51.0,-23.7,133.88,4.0,1.84
234,wonogiri,8.0,ID,2019-06-30 22:46:15,87.0,-7.81,110.93,20.66,1.84
235,husavik,0.0,CA,2019-06-30 22:46:15,64.0,50.56,-96.99,21.96,6.81
236,urucara,2.0,BR,2019-06-30 22:46:16,77.0,-2.54,-57.76,25.36,0.88
237,mtimbira,31.0,TZ,2019-06-30 22:46:16,69.0,-8.78,36.35,19.86,1.57
238,mangai,0.0,CD,2019-06-30 22:44:11,48.0,-4.07,19.59,22.56,0.18
239,outlook,15.0,CA,2019-06-30 22:46:16,38.0,51.48,-107.04,22.22,2.24
240,kiruna,98.0,SE,2019-06-30 22:46:16,61.0,67.86,20.23,9.0,4.6
242,mastic beach,1.0,US,2019-06-30 22:46:17,53.0,40.77,-72.85,26.11,5.7
243,yoichi,75.0,JP,2019-06-30 22:46:17,77.0,43.19,140.77,16.0,7.7
244,bubaque,95.0,GW,2019-06-30 22:46:17,86.0,11.28,-15.83,26.76,6.33
246,praia da vitoria,20.0,PT,2019-06-30 22:45:59,82.0,38.73,-27.07,20.0,6.52
247,tacuati,17.0,PY,2019-06-30 22:46:18,61.0,-23.46,-56.74,25.66,1.27
248,dorogobuzh,12.0,RU,2019-06-30 22:46:18,88.0,54.91,33.3,12.96,2.34
250,butaritari,100.0,KI,2019-06-30 22:46:18,81.0,3.07,172.79,26.56,4.43
251,chokurdakh,94.0,RU,2019-06-30 22:43:20,47.0,70.62,147.9,10.56,3.62
252,saint-pierre,0.0,FR,2019-06-30 22:44:40,82.0,48.95,4.24,22.0,3.1
253,necochea,43.0,AR,2019-06-30 22:46:19,79.0,-38.55,-58.74,7.78,4.92
254,nanortalik,3.0,GL,2019-06-30 22:42:30,73.0,60.14,-45.24,3.76,1.79
255,fayaoue,70.0,NC,2019-06-30 22:46:19,71.0,-20.65,166.53,22.66,1.96
256,surt,0.0,LY,2019-06-30 22:46:19,80.0,31.21,16.59,24.96,3.41
257,tarko-sale,54.0,RU,2019-06-30 22:46:19,73.0,64.92,77.78,16.67,2.1
258,topeka,1.0,US,2019-06-30 22:46:20,52.0,39.05,-95.68,34.0,5.1
259,port lincoln,100.0,AU,2019-06-30 22:46:20,69.0,-34.72,135.86,14.86,12.09
260,jardim,0.0,BR,2019-06-30 22:46:20,58.0,-21.48,-56.15,23.56,1.82
262,fruitvale,35.0,CA,2019-06-30 22:46:21,10.0,49.12,-117.55,30.56,0.89
263,situbondo,1.0,ID,2019-06-30 22:46:21,66.0,-7.71,114.01,24.66,3.96
264,quatre cocos,75.0,MU,2019-06-30 22:43:33,68.0,-20.21,57.76,21.0,5.1
265,mbeya,0.0,TZ,2019-06-30 22:46:21,71.0,-8.91,33.47,12.36,1.71
266,laguna,75.0,BZ,2019-06-30 22:46:21,83.0,16.17,-88.94,29.0,3.1
267,noumea,40.0,NC,2019-06-30 22:43:09,100.0,-22.28,166.46,20.0,4.78
268,guiratinga,23.0,BR,2019-06-30 22:46:22,46.0,-16.35,-53.76,22.66,2.03
269,san francisco,62.0,CO,2019-06-30 22:46:22,99.0,1.17,-76.88,11.86,0.72
270,calderitas,40.0,MX,2019-06-30 22:46:22,74.0,18.55,-88.26,29.0,5.7
272,san quintin,100.0,PH,2019-06-30 22:41:39,79.0,17.54,120.52,27.36,0.81
273,kastamonu,0.0,TR,2019-06-30 22:46:23,96.0,41.38,33.78,6.36,0.58
275,hualmay,27.0,PE,2019-06-30 22:46:23,88.0,-11.1,-77.61,17.56,8.25
277,la ronge,40.0,CA,2019-06-30 22:44:56,40.0,55.1,-105.3,22.0,7.7
278,kahului,75.0,US,2019-06-30 22:46:23,65.0,20.89,-156.47,28.0,4.1
279,san cristobal,88.0,HN,2019-06-30 22:46:24,72.0,14.68,-86.92,23.56,3.52
281,san andres villa seca,75.0,GT,2019-06-30 22:46:24,59.0,14.57,-91.58,32.0,5.1
282,saldanha,30.0,PT,2019-06-30 22:43:14,80.0,41.42,-6.55,19.46,2.0
283,lakatoro,31.0,VU,2019-06-30 22:46:24,57.0,-16.11,167.42,24.46,2.7
284,imbituba,75.0,BR,2019-06-30 22:44:58,83.0,-28.24,-48.67,22.0,4.1
285,yerbogachen,0.0,RU,2019-06-30 22:46:25,43.0,61.28,108.01,27.26,0.46
286,chipinge,0.0,ZW,2019-06-30 22:46:25,71.0,-20.19,32.62,15.16,1.93
287,abu dhabi,0.0,AE,2019-06-30 22:46:25,66.0,24.47,54.37,32.0,2.6
288,beringovskiy,15.0,RU,2019-06-30 22:42:07,65.0,63.05,179.32,12.36,6.06
289,buala,9.0,SB,2019-06-30 22:46:26,76.0,-8.15,159.59,27.76,3.07
290,manggar,17.0,ID,2019-06-30 22:46:26,81.0,-2.88,108.27,25.56,2.4
291,umm lajj,0.0,SA,2019-06-30 22:46:26,69.0,25.02,37.27,29.46,3.58
292,homa bay,5.0,KE,2019-06-30 22:46:26,70.0,-0.53,34.45,22.56,2.87
293,jalcocotan,90.0,MX,2019-06-30 22:46:27,58.0,21.48,-105.1,29.0,4.6
294,moindou,40.0,NC,2019-06-30 22:46:27,100.0,-21.69,165.68,20.0,4.14
296,gorgan,75.0,IR,2019-06-30 22:46:27,83.0,36.84,54.43,26.0,3.1
